Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
YonathanDaza,Rockies,44,105,0,7,3,1,6.70%,20.00%,0.031,0.26,0.206,0.257,0.237,0.221,17,84.5,0.4,-11.1,1.3,-0.6,15794
DawelLugo,Tigers,77,288,6,28,26,0,2.80%,20.50%,0.136,0.288,0.245,0.271,0.381,0.272,65,87,-1.9,-14.8,-1.8,-0.6,14713
JTRiddle,Marlins,51,139,6,15,12,0,3.60%,30.20%,0.182,0.226,0.189,0.23,0.371,0.25,54,88.9,-0.2,-8.7,-2.2,-0.6,17642
JoshHarrison,Tigers,36,147,1,10,8,4,4.10%,18.40%,0.088,0.207,0.175,0.218,0.263,0.208,22,86.3,-0.6,-15.3,3.6,-0.6,8202
ScottSchebler,Reds,30,95,2,11,7,0,14.70%,28.40%,0.099,0.154,0.123,0.253,0.222,0.223,30,86.5,-1.2,-10,0.3,-0.6,12225
JoseRondon,- - -,56,157,3,10,9,0,7.00%,24.20%,0.084,0.245,0.196,0.263,0.28,0.241,47,87.3,-0.8,-11.4,-0.8,-0.6,14140
BrendanRodgers,Rockies,25,81,0,8,7,0,4.90%,33.30%,0.026,0.347,0.224,0.272,0.25,0.234,25,86.9,0.5,-7.6,-1.7,-0.6,17907
SteveWilkerson,Orioles,119,361,10,41,35,3,6.10%,29.90%,0.158,0.3,0.225,0.286,0.383,0.286,73,86.3,-0.1,-12.3,-7.1,-0.6,16041
JeddGyorko,- - -,62,101,2,6,9,2,8.90%,23.80%,0.076,0.212,0.174,0.248,0.25,0.224,36,85.8,-0.5,-9.1,-1,-0.7,10816
HumbertoArteaga,Royals,41,135,0,11,4,1,5.90%,20.70%,0.033,0.255,0.197,0.258,0.23,0.221,30,84.5,0.6,-11.5,-0.3,-0.7,13595
EricStamets,Indians,15,48,0,4,2,0,10.40%,50.00%,0.024,0.111,0.049,0.149,0.073,0.118,-42,86.3,-0.5,-9.2,0.5,-0.7,13795
SocratesBrito,Blue Jays,17,43,0,5,2,0,9.30%,39.50%,0.051,0.136,0.077,0.163,0.128,0.14,-23,88,-0.3,-7.1,-1.9,-0.7,12944
MelkyCabrera,Pirates,133,397,7,43,47,2,4.30%,10.30%,0.119,0.3,0.28,0.313,0.399,0.301,85,88.2,-1.9,-9.9,-10.5,-0.7,4022
AlbertAlmoraJr,Cubs,130,363,12,41,32,2,4.40%,17.10%,0.145,0.255,0.236,0.271,0.381,0.271,64,86.3,-0.7,-18.1,-1.1,-0.7,14109
TylerWhite,- - -,83,279,3,18,23,0,12.90%,28.00%,0.096,0.29,0.208,0.308,0.304,0.274,71,86,-1.3,-11.8,-5.5,-0.7,15564
AustinDean,Marlins,64,189,6,17,21,0,4.80%,24.90%,0.18,0.27,0.225,0.261,0.404,0.276,71,88.7,-0.3,-7.6,-6.1,-0.7,18288
CedricMullinsII,Orioles,22,74,0,7,4,1,5.40%,18.90%,0.063,0.118,0.094,0.181,0.156,0.159,-12,84.2,0.5,-10.1,-0.2,-0.8,17929
JakeFraley,Mariners,12,41,0,3,1,0,0.00%,34.10%,0.05,0.231,0.15,0.171,0.2,0.162,-5,83.4,0.4,-5.1,-4.2,-0.8,19260
ChrisOwings,- - -,67,196,3,13,14,5,7.10%,39.80%,0.094,0.222,0.139,0.209,0.233,0.198,13,86.9,0.8,-21,6.1,-0.8,10030
JuanLagares,Mets,133,285,5,38,27,4,7.70%,26.30%,0.112,0.279,0.213,0.279,0.326,0.258,60,88.3,-0.5,-15.5,-1.7,-0.8,5384
KeonBroxton,- - -,100,228,6,24,16,10,8.80%,45.60%,0.108,0.292,0.167,0.242,0.275,0.229,38,88.1,0,-18.2,2.3,-0.8,9253
DwightSmithJr,Orioles,101,392,13,46,53,5,6.60%,20.90%,0.171,0.274,0.241,0.297,0.412,0.299,83,89.1,-0.8,-9.5,-12.5,-0.8,13473
MarkReynolds,Rockies,78,162,4,13,20,2,13.60%,35.20%,0.141,0.247,0.17,0.29,0.311,0.267,47,88.9,-0.9,-12.2,-1.2,-0.8,7619
MattKemp,Reds,20,62,1,4,5,0,1.60%,30.60%,0.083,0.268,0.2,0.21,0.283,0.208,20,87.3,-0.3,-6.9,-3.3,-0.8,5631
KendrysMorales,- - -,53,201,2,16,12,0,12.90%,12.90%,0.059,0.217,0.194,0.313,0.253,0.264,63,91.3,-1.8,-11.4,-4,-0.8,8610
TravisShaw,Brewers,86,270,7,22,16,0,13.30%,33.00%,0.113,0.216,0.157,0.281,0.27,0.248,47,89.1,-0.4,-19.2,2.1,-0.8,11982
DanielDescalso,Cubs,82,194,2,20,15,2,11.90%,29.40%,0.077,0.245,0.173,0.271,0.25,0.238,42,88.8,-0.7,-15.6,0.9,-0.8,8392
CheslorCuthbert,Royals,87,330,9,24,40,1,5.80%,20.30%,0.133,0.288,0.246,0.294,0.379,0.287,74,88.8,-2.5,-13.3,-7.1,-0.8,10473
SamTravis,Red Sox,59,157,6,17,16,2,7.00%,22.90%,0.167,0.243,0.215,0.274,0.382,0.273,62,89.2,-2.1,-9.6,-4.9,-0.9,16263
JonJay,White Sox,47,182,0,12,9,0,4.40%,16.50%,0.048,0.324,0.267,0.311,0.315,0.275,70,83.1,0.4,-6.5,-9,-0.9,5227
GraysonGreiner,Tigers,58,224,5,18,19,0,5.80%,31.30%,0.106,0.276,0.202,0.251,0.308,0.242,45,86.6,-0.4,-16.3,-1,-0.9,17062
StevePearce,Red Sox,29,99,1,9,9,0,7.10%,31.30%,0.079,0.259,0.18,0.245,0.258,0.224,29,88.5,-0.8,-9.8,-3,-0.9,9957
JungHoKang,Pirates,65,185,10,15,24,0,5.90%,32.40%,0.227,0.184,0.169,0.222,0.395,0.256,55,92.2,-0.8,-11.7,-3.7,-0.9,17182
ZackCozart,Angels,38,107,0,4,7,0,4.70%,15.00%,0.021,0.143,0.124,0.178,0.144,0.15,-14,85.9,0.2,-15.5,2.2,-0.9,2616
RaimelTapia,Rockies,138,447,9,54,44,9,4.70%,22.40%,0.141,0.341,0.275,0.309,0.415,0.307,73,87.6,-0.2,-16.4,-7.6,-0.9,14350
AaronAltherr,- - -,49,66,1,8,3,0,4.50%,37.90%,0.082,0.111,0.082,0.136,0.164,0.135,-23,85.3,0.1,-10.6,-1,-0.9,11270
MeibrysViloria,Royals,42,148,1,7,15,0,6.80%,29.70%,0.075,0.293,0.211,0.259,0.286,0.236,40,87.5,-1.9,-13.2,-1.6,-0.9,17109
NickWilliams,Phillies,67,112,2,9,5,0,3.60%,38.40%,0.094,0.23,0.151,0.196,0.245,0.193,12,86.7,0.6,-12.4,-0.8,-0.9,14330
KhrisDavis,Athletics,133,533,23,61,73,0,8.80%,27.40%,0.166,0.264,0.22,0.293,0.387,0.289,81,90.2,-2.2,-15.2,-13.5,-1,9112
LucasDuda,Royals,39,119,4,7,15,0,9.20%,26.90%,0.152,0.197,0.171,0.252,0.324,0.245,46,91.5,-1.8,-10.1,-4,-1,2502
RichieMartinJr,Orioles,120,309,6,29,23,10,4.50%,26.90%,0.113,0.272,0.208,0.26,0.322,0.252,50,83.2,-1.1,-20.7,-0.3,-1,17736
EduardoNunez,Red Sox,60,174,2,13,20,5,2.30%,15.50%,0.078,0.257,0.228,0.243,0.305,0.233,35,88,-1,-15.4,-1.1,-1,6848
WelingtonCastillo,White Sox,72,251,12,19,41,0,6.40%,29.50%,0.209,0.247,0.209,0.267,0.417,0.287,78,89.5,-4.8,-11.9,-7.4,-1,3256
RyanO'Hearn,Royals,105,370,14,32,38,0,10.50%,26.80%,0.174,0.23,0.195,0.281,0.369,0.278,68,90.5,-1.2,-16.1,-7.3,-1,16442
IsiahKinerFalefa,Rangers,65,222,1,23,21,3,6.30%,22.10%,0.084,0.307,0.238,0.299,0.322,0.272,57,87.2,0.5,-11.7,-6.7,-1,16512
MiguelAndujar,Yankees,12,49,0,1,1,0,2.00%,22.40%,0,0.162,0.128,0.143,0.128,0.121,-36,83.6,-0.6,-9.1,-3.2,-1,15878
JohnHicks,Tigers,95,333,13,29,35,1,3.90%,32.70%,0.169,0.273,0.21,0.24,0.379,0.259,56,87.9,-3.8,-22.4,-1.3,-1.2,12547
YonderAlonso,- - -,121,335,10,34,37,0,11.60%,20.90%,0.147,0.224,0.199,0.296,0.346,0.277,66,88.1,-3.7,-18.1,-6.1,-1.2,2530
MartinPrado,Marlins,104,260,2,26,15,0,4.60%,15.80%,0.061,0.268,0.233,0.265,0.294,0.243,49,87,-2.3,-19.7,-1.2,-1.2,3312
IsanDiaz,Marlins,49,201,5,17,23,0,9.50%,29.40%,0.134,0.224,0.173,0.259,0.307,0.248,53,88.5,-2.9,-15.4,-4,-1.2,17922
ChristinStewart,Tigers,104,416,10,32,40,0,8.20%,24.80%,0.154,0.29,0.233,0.305,0.388,0.294,79,86.9,-3.1,-14,-13.6,-1.2,17714
ChrisDavis,Orioles,105,352,12,26,36,0,11.10%,39.50%,0.147,0.27,0.179,0.276,0.326,0.263,58,89.1,0.1,-18.8,-7.3,-1.3,9272
DanielPalka,White Sox,30,93,2,4,4,0,8.60%,37.60%,0.071,0.149,0.107,0.194,0.179,0.174,2,87.4,-0.5,-12.1,-5,-1.3,14897
CurtisGranderson,Marlins,138,363,12,44,34,0,11.30%,27.00%,0.174,0.22,0.183,0.281,0.356,0.275,70,88.8,-6.3,-20.4,-5.6,-1.4,4747
EliasDiaz,Pirates,101,332,2,31,28,0,6.90%,16.90%,0.066,0.286,0.241,0.296,0.307,0.265,61,88.1,-1,-17.9,-8,-1.5,11680
LewisBrinson,Marlins,75,248,0,15,15,1,5.20%,29.80%,0.049,0.255,0.173,0.236,0.221,0.205,25,87,-1.2,-25.9,0.6,-1.7,14352
JeffMathis,Rangers,88,244,2,17,12,1,6.10%,35.70%,0.066,0.243,0.158,0.209,0.224,0.19,2,86.1,-0.7,-31.3,0.9,-2.1,3448
