Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
WilmerFlores,Diamondbacks,89,285,9,31,37,0,5.30%,10.90%,0.17,0.332,0.317,0.361,0.487,0.358,120,87.4,-1.9,5.7,-3.6,1.1,5827
MannyPina,Brewers,76,179,7,10,25,0,8.90%,27.90%,0.184,0.284,0.228,0.313,0.411,0.308,87,88.5,0.3,-2.9,8.3,1.1,2829
AaronHicks,Yankees,59,255,12,41,36,1,12.20%,28.20%,0.208,0.286,0.235,0.325,0.443,0.325,102,89.8,-0.1,0.6,1.3,1.1,5297
JasonKipnis,Indians,121,511,17,52,65,7,7.80%,17.20%,0.166,0.265,0.245,0.304,0.41,0.301,82,88.1,0,-11.9,4.8,1.1,9776
AristidesAquino,Reds,56,225,19,31,47,7,7.10%,26.70%,0.317,0.266,0.259,0.316,0.576,0.36,119,87.8,1.6,7.4,-4,1,15482
CurtCasali,Reds,84,236,8,24,32,0,10.60%,25.00%,0.159,0.308,0.251,0.331,0.411,0.316,90,87.2,1.5,-1.5,4.5,1,12510
CoreyDickerson,- - -,78,279,12,33,59,1,5.70%,20.10%,0.262,0.344,0.304,0.341,0.565,0.367,127,87.1,-0.9,9,-7.4,1,10762
MikeFreeman,Indians,75,213,4,27,24,1,10.30%,28.60%,0.113,0.388,0.277,0.362,0.39,0.327,99,85.6,1.8,1.6,1.3,1,11241
YolmerSanchez,White Sox,149,555,2,59,43,5,7.90%,21.10%,0.069,0.324,0.252,0.318,0.321,0.281,74,87.1,2,-16.3,7,1,11602
JoshReddick,Astros,141,550,14,57,56,5,6.50%,12.00%,0.134,0.288,0.275,0.319,0.409,0.308,93,86.1,0.4,-4.2,-4.9,1,3892
ZackGreinke,- - -,36,56,3,7,8,1,3.60%,21.40%,0.3,0.314,0.28,0.308,0.58,0.362,123,88.9,-0.3,1.4,6.9,1,1943
JesseWinker,Reds,113,384,16,51,38,0,9.90%,15.60%,0.204,0.286,0.269,0.357,0.473,0.351,113,89.2,-4.1,2.7,-5.2,1,13590
CesarPuello,- - -,44,147,4,14,18,0,6.80%,25.90%,0.136,0.325,0.248,0.356,0.384,0.325,104,86.3,0,0.5,4.5,1,7216
FranmilReyes,- - -,150,548,37,69,81,0,8.60%,28.50%,0.263,0.279,0.249,0.31,0.512,0.338,109,93.3,-3.2,3.1,-11.5,1,14566
PabloSandoval,Giants,108,296,14,42,41,1,6.10%,22.60%,0.239,0.304,0.268,0.313,0.507,0.336,110,89.8,-0.6,3.4,-3.1,1,5409
DidiGregorius,Yankees,82,344,16,47,61,2,4.90%,15.40%,0.204,0.237,0.238,0.276,0.441,0.297,83,88,1.1,-6.1,3.6,0.9,6012
MylesStraw,Astros,56,128,0,27,7,8,14.80%,18.80%,0.074,0.345,0.269,0.378,0.343,0.323,104,84.7,2.8,3.4,1.7,0.9,17620
